"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"6443","BPI","BPI 785200","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1902,7,19,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.30806,-72.92861,NA,NA,NA
"6444","BPI","BPI 785174","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1902,8,17,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.30806,-72.92861,NA,NA,NA
"6445","BPI","BPI 785207","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1904,4,22,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Puerto Rico",18.20868,-67.1378,"WGS84",1265,NA
"6446","BPI","BPI 785167","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1905,7,19,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","New York",40.94639,-73.06972,NA,NA,NA
"6447","BPI","BPI 785169","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1905,9,17,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.30806,-72.92861,NA,NA,NA
"6448","BPI","BPI 785170","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1907,6,28,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.577039,-73.408454,NA,5041,NA
"6449","BPI","BPI 785209","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1907,7,12,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.39093,-72.859545,NA,7074,NA
"6450","BPI","BPI 785204","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1907,9,30,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.808431,-72.249523,NA,3553,NA
"6451","BPI","BPI 785171","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1908,8,27,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.258986,-72.895101,NA,647,NA
"6452","BPI","BPI 785210","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1908,9,23,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.3081065,-72.928384,NA,7710,NA
"6453","BPI","BPI 785490","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1908,10,6,1900,"Vitis labrusca","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Massachusetts",42.420374,-71.180055,NA,3036,NA
"6454","BPI","BPI 785168","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1908,10,15,1900,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.763711,-72.685093,NA,6475,NA
"6455","BPI","BPI 785196","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1919,9,24,1910,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.330653,-72.97177,NA,3036,NA
"6456","BPI","BPI 785198","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1919,11,15,1910,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.30806,-72.92861,NA,NA,NA
"6457","BPI","BPI 785609","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1921,9,16,1920,"Vitis vulpina","Vitaceae","cultivated","native","cultivated-native","North America","United States of America","Connecticut",41.929263,-72.91399,NA,3036,NA
"6458","BPI","BPI 785188","PreservedSpecimen","Plasmopara","viticola","Plasmopara viticola","G P Clinton",NA,1922,6,22,1920,"Vitis sp","Vitaceae",NA,NA,NA,"North America","United States of America","Connecticut",41.05343,-73.538734,NA,10974,NA
