"","institution_code","catalog_number","basis_of_record","cur_genus","cur_epithet","cur_scientific_name","recorded_by","record_number","year","month","day","decade","cur_host","host_family","cultivated","native_status","cultivated_native","continent","country","state_province","decimal_latitude","decimal_longitude","geodetic_datum","coordinate_uncertainty_in_meters","climatic_zone"
"7585","BPI","BPI 785790","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W W Gilbert","s.n.",1904,7,26,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","South Carolina",32.776566,-79.930922,"WGS84",23749,NA
"7586","BPI","BPI 785812","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W W Gilbert",NA,1908,6,18,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Virginia",36.864593,-76.396612,NA,3036,NA
"7587","BPI","BPI 785757","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W W Gilbert",NA,1908,7,24,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New Jersey",40.336777,-74.047084,NA,2583,NA
"7588","BPI","BPI 785895","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis","W W Gilbert",NA,1915,10,2,1910,"Cucumis melo","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New York",43.213396,-77.579723,NA,4964,NA
"7589","BPI","BPI 785769","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1892,7,15,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","New Jersey",40.486216,-74.451819,NA,4983,NA
"7590","BPI","BPI 785767","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1892,9,NA,1890,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.416759,-71.682847,NA,2052,NA
"7591","BPI","BPI 796361","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1905,8,31,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","West Virginia",39.45621,-77.963887,NA,3161,NA
"7592","BPI","BPI 785810","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1906,8,15,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.39593,-71.178666,NA,3578,NA
"7593","ISC","ISC-F-0098131","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,"s.n.",1908,6,18,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Virginia",36.864593,-76.396612,NA,3036,NA
"7594","BPI","BPI 785856","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1909,8,NA,1900,"Citrullus lanatus","Cucurbitaceae","wild","non-native","wild-non-native","North America","United States of America","South Carolina",34.387906,-81.1038535,"WGS84",24650,NA
"7595","BPI","BPI 785784","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1909,8,NA,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.222322,-70.999492,NA,5292,NA
"7596","BPI","BPI 785797","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1909,8,NA,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Washington District of Columbia",38.895112,-77.036366,NA,13629,NA
"7597","NEB","NEB00064759","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1909,10,12,1900,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.524795,-71.766005,"WGS84",7287,NA
"7598","FLAS","FLAS-F-00976","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1912,5,23,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Florida",29.633785,-82.353152,"WGS84",566,NA
"7599","FLAS","FLAS-F-00929","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,1912,5,NA,1910,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Florida",29.62666,-82.362628,"WGS84",433,NA
"7600","CUP","Hume,FungiFL.024","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,NA,NA,NA,NA,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Florida",28.216558,-83.0762995,"WGS84",247474,NA
"7601","CUP","CUP-003765","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,NA,NA,NA,NA,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","Massachusetts",42.525091,-71.759794,"WGS84",7287,NA
"7602","NEB","NEB00066874","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,NA,NA,NA,NA,"Cucumis sativus","Cucurbitaceae","cultivated","non-native","cultivated-non-native","North America","United States of America","South Carolina",32.776566,-79.930922,"WGS84",23749,NA
"7603","BPI","BPI 785916","PreservedSpecimen","Pseudoperonospora","cubensis","Pseudoperonospora cubensis",NA,NA,NA,NA,NA,NA,"Cucurbita sp","Cucurbitaceae",NA,NA,NA,"North America","United States of America","Virginia",36.846815,-76.285218,NA,3036,NA
