Genus	Specific Epithet	Name	Host family	Hosts	Type Host Species Name	Mycorrhizae	Tree	Deciduous_Evergreen	Photosynthesis		
Hyaloperonospora	sisymbrii-officinalis 	Hyaloperonospora sisymbrii-officinalis 	Brassicaceae	"Sisymbrium officinale, S. iro, and S. altissimum"	Sisymbrium officinale		No	NA	C3		
Hyaloperonospora	sisymbrii-orientalis	Hyaloperonospora sisymbrii-orientalis	Brassicaceae	"Sisymbrium orientale, M. Ranojevi_"	Sisymbrium orientale		No	NA	C3		
Hyaloperonospora	sisymbrii-sophiae	Hyaloperonospora sisymbrii-sophiae	Brassicaceae	Sisymbrium irio	Sisymbrium irio		No	NA	C3		
Hyaloperonospora	sophiae-pinnatae	Hyaloperonospora sophiae-pinnatae	Brassicaceae	Descurainia pinnata	Descurainia pinnata		No	NA	C3		
Hyaloperonospora	streptolomatis	Hyaloperonospora streptolomatis	Brassicaceae	Streptoloma desertorum	Streptoloma desertorum		No	NA	C3		
Hyaloperonospora	syreniae-cuspidatae	Hyaloperonospora syreniae-cuspidatae	Brassicaceae	Erysimum cuspidatum (Syrenia cuspidata)	Erysimum cuspidatum		No	NA	C3		
Hyaloperonospora	takahashii	Hyaloperonospora takahashii	Brassicaceae	Cochlearia oblongifolia	Cochlearia oblongifolia		No	NA	C3		
Hyaloperonospora	taurica	Hyaloperonospora taurica	Brassicaceae	Alyssum simplex (A. minus (A. campestre)	Alyssum simplex		No	NA	C3		
Hyaloperonospora	tauscheriae	Hyaloperonospora tauscheriae	Brassicaceae	Tauscheria lasiocarpa	Tauscheria lasiocarpa		No	NA	C3		
Hyaloperonospora	teesdaliae	Hyaloperonospora teesdaliae	Brassicaceae	Teesdalia nudicaulis	Teesdalia nudicaulis		No	NA	C3		
Hyaloperonospora	thlaspeos-arvensis	Hyaloperonospora thlaspeos-arvensis	Brassicaceae	Thlaspi alpestre	Thlaspi alpestre		No	NA	C3		
Hyaloperonospora	thlaspeos-perfoliati	Hyaloperonospora thlaspeos-perfoliati	Brassicaceae	Thlaspi perfoliatum	Thlaspi perfoliatum		No	NA	C3		
Hyaloperonospora	tribulina	Hyaloperonospora tribulina	Brassicaceae	Tribulus terrestris	Tribulus terrestris		No	NA	C3		
Hyaloperonospora	turritidis	Hyaloperonospora turritidis	Brassicaceae	"P. parasitica, Turritis glabra"	Turritis glabra		No	NA	C3		
Novotelnova	scorzonerae	Novotelnova scorzonerae	Asteraceae		Scorzonera hispanica		No	NA	C3		
Paraperonospora	apiculata	Paraperonospora apiculata	Asteraceae	Galatella punctata	Galatella punctata		No	NA	C3		
Paraperonospora	artemisiae-annuae	Paraperonospora artemisiae-annuae	Asteraceae	Artemisia annua	Artemisia annua		No	NA	C3		
Paraperonospora	artemisiae-biennis	Paraperonospora artemisiae-biennis	Asteraceae	Artemisia biennis	Artemisia biennis		No	NA	C3		
Paraperonospora	chrysanthermi-coronarii	Paraperonospora chrysanthermi-coronarii	Asteraceae	Chrysanthemum coronarium	Chrysanthemum coronarium		No	NA	C3		
Paraperonospora	leptosperma	Paraperonospora leptosperma	Asteraceae	Tripleurospermum inodorum	Tripleurospermum inodorum		No	NA	C3		
Paraperonospora	minor	Paraperonospora minor	Asteraceae	Artemisia vulgaris	Artemisia vulgaris		No	NA	C3		
Paraperonospora	multiformis	Paraperonospora multiformis	Asteraceae	Artemisia annua	Artemisia annua		No	NA	C3		
Paraperonospora	sulphurea	Paraperonospora sulphurea	Asteraceae	Artemisia absinthium	Artemisia absinthium		No	NA	C3		
Paraperonospora	tanaceti	Paraperonospora tanaceti	Asteraceae	Tanacetum vulgare	Tanacetum vulgare		No	NA	C3		
