"genus"	"specific_epithet"	"name"	"type_host_species_name"	"host_family"	"mycorrhizae"	"photosynthesis"
"150"	"Peronospora"	"aestivalis"	"Peronospora aestivalis"	"Medicago sativa"	"Fabaceae"	"mycorrhizal"	"C3"
"151"	"Peronospora"	"affinis"	"Peronospora affinis"	"Fumaria officinalis"	"Papaveraceae"	"nonmycorrhizal"	"C3"
"152"	"Peronospora"	"agrestis"	"Peronospora agrestis"	"Veronica polita"	"Plantaginaceae"	"mycorrhizal"	"C3"
"153"	"Peronospora"	"agrimoniae"	"Peronospora agrimoniae"	"Agrimonia striata"	"Rosaceae"	"mycorrhizal"	"C3"
"154"	"Peronospora"	"agrorum"	"Peronospora agrorum"	"Androsace septentrionalis"	"Primulaceae"	"mycorrhizal"	"C3"
"155"	"Peronospora"	"agrostemmatis"	"Peronospora agrostemmatis"	"Agrostemma githago"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"156"	"Peronospora"	"akatsukae"	"Peronospora akatsukae"	"Plantago asiatica"	"Plantaginaceae"	"mycorrhizal"	"C3"
"157"	"Peronospora"	"alchemillae"	"Peronospora alchemillae"	"Alchemilla xanthochlora"	"Rosaceae"	"mycorrhizal"	"C3"
"158"	"Peronospora"	"alkannae"	"Peronospora alkannae"	"Alkanna lutea"	"Boraginaceae"	"mycorrhizal"	"C3"
"159"	"Peronospora"	"alpicola"	"Peronospora alpicola"	"Ranunculus aconitifolius"	"Ranunculaceae"	"mycorrhizal"	"C3"
"160"	"Peronospora"	"alsinearum"	"Peronospora alsinearum"	"Stellaria media"	"Caryophyllaceae"	"nonmycorrhizal"	"C3"
"161"	"Peronospora"	"alta"	"Peronospora alta"	"Plantago major"	"Plantaginaceae"	"mycorrhizal"	"C3"
"162"	"Peronospora"	"amaranthi"	"Peronospora amaranthi"	"Amaranthus blitum"	"Amaranthaceae"	"nonmycorrhizal"	"C4"
"163"	"Peronospora"	"americana"	"Peronospora americana"	"Fallopia scadens"	"Polygonaceae"	"nonmycorrhizal"	"C3"
